0.1095  (-0.082125 0 0) 
0.11  (-0.0825 0 0) 
0.1105  (-0.082875 0 0) 
0.111  (-0.08325 0 0) 
0.1115  (-0.083625 0 0) 
0.112  (-0.084 0 0) 
0.1125  (-0.084375 0 0) 
0.113  (-0.08475 0 0) 
0.1135  (-0.085125 0 0) 
0.114  (-0.0855 0 0) 
0.1145  (-0.085875 0 0) 
0.115  (-0.08625 0 0) 
0.1155  (-0.086625 0 0) 
0.116  (-0.087 0 0) 
0.1165  (-0.087375 0 0) 
0.117  (-0.08775 0 0) 
0.1175  (-0.088125 0 0) 
0.118  (-0.0885 0 0) 
0.1185  (-0.088875 0 0) 
0.119  (-0.08925 0 0) 
0.1195  (-0.089625 0 0) 
0.12  (-0.09 0 0) 
0.1205  (-0.090375 0 0) 
0.121  (-0.09075 0 0) 
0.1215  (-0.091125 0 0) 
0.122  (-0.0915 0 0) 
0.1225  (-0.091875 0 0) 
0.123  (-0.09225 0 0) 
0.1235  (-0.092625 0 0) 
0.124  (-0.093 0 0) 
0.1245  (-0.093375 0 0) 
0.125  (-0.09375 0 0) 
0.1255  (-0.094125 0 0) 
0.126  (-0.0945 0 0) 
0.1265  (-0.094875 0 0) 
0.127  (-0.09525 0 0) 
0.1275  (-0.095625 0 0) 
0.128  (-0.096 0 0) 
0.1285  (-0.096375 0 0) 
0.129  (-0.09675 0 0) 
0.1295  (-0.097125 0 0) 
0.13  (-0.0975 0 0) 
0.1305  (-0.097875 0 0) 
0.131  (-0.09825 0 0) 
0.1315  (-0.098625 0 0) 
0.132  (-0.099 0 0) 
0.1325  (-0.099375 0 0) 
0.133  (-0.09975 0 0) 
0.1335  (-0.100125 0 0) 
0.134  (-0.1005 0 0) 
0.1345  (-0.100875 0 0) 
0.135  (-0.10125 0 0) 
0.1355  (-0.101625 0 0) 
0.136  (-0.102 0 0) 
0.1365  (-0.102375 0 0) 
0.137  (-0.10275 0 0) 
0.1375  (-0.103125 0 0) 
0.138  (-0.1035 0 0) 
0.1385  (-0.103875 0 0) 
0.139  (-0.10425 0 0) 
0.1395  (-0.104625 0 0) 
0.14  (-0.105 0 0) 
0.1405  (-0.105375 0 0) 
0.141  (-0.10575 0 0) 
0.1415  (-0.106125 0 0) 
0.142  (-0.1065 0 0) 
0.1425  (-0.106875 0 0) 
0.143  (-0.10725 0 0) 
0.1435  (-0.107625 0 0) 
0.144  (-0.108 0 0) 
0.1445  (-0.108375 0 0) 
0.145  (-0.10875 0 0) 
0.1455  (-0.109125 0 0) 
0.146  (-0.1095 0 0) 
0.1465  (-0.109875 0 0) 
0.147  (-0.11025 0 0) 
0.1475  (-0.110625 0 0) 
0.148  (-0.111 0 0) 
0.1485  (-0.111375 0 0) 
0.149  (-0.11175 0 0) 
0.1495  (-0.112125 0 0) 
0.15  (-0.1125 0 0) 
0.1505  (-0.112875 0 0) 
0.151  (-0.11325 0 0) 
0.1515  (-0.113625 0 0) 
0.152  (-0.114 0 0) 
0.1525  (-0.114375 0 0) 
0.153  (-0.11475 0 0) 
0.1535  (-0.115125 0 0) 
0.154  (-0.1155 0 0) 
0.1545  (-0.115875 0 0) 
0.155  (-0.11625 0 0) 
0.1555  (-0.116625 0 0) 
0.156  (-0.117 0 0) 
0.1565  (-0.117375 0 0) 
0.157  (-0.11775 0 0) 
0.1575  (-0.118125 0 0) 
0.158  (-0.1185 0 0) 
0.1585  (-0.118875 0 0) 
0.159  (-0.11925 0 0) 
0.1595  (-0.119625 0 0) 
0.16  (-0.12 0 0) 
0.1605  (-0.120375 0 0) 
0.161  (-0.12075 0 0) 
0.1615  (-0.121125 0 0) 
0.162  (-0.1215 0 0) 
0.1625  (-0.121875 0 0) 
0.163  (-0.12225 0 0) 
0.1635  (-0.122625 0 0) 
0.164  (-0.123 0 0) 
0.1645  (-0.123375 0 0) 
0.165  (-0.12375 0 0) 
0.1655  (-0.124125 0 0) 
0.166  (-0.1245 0 0) 
0.1665  (-0.124875 0 0) 
0.167  (-0.12525 0 0) 
0.1675  (-0.125625 0 0) 
0.168  (-0.126 0 0) 
0.1685  (-0.126375 0 0) 
0.169  (-0.12675 0 0) 
0.1695  (-0.127125 0 0) 
0.17  (-0.1275 0 0) 
0.1705  (-0.127875 0 0) 
0.171  (-0.12825 0 0) 
0.1715  (-0.128625 0 0) 
0.172  (-0.129 0 0) 
0.1725  (-0.129375 0 0) 
0.173  (-0.12975 0 0) 
0.1735  (-0.130125 0 0) 
0.174  (-0.1305 0 0) 
0.1745  (-0.130875 0 0) 
0.175  (-0.13125 0 0) 
0.1755  (-0.131625 0 0) 
0.176  (-0.132 0 0) 
0.1765  (-0.132375 0 0) 
0.177  (-0.13275 0 0) 
0.1775  (-0.133125 0 0) 
0.178  (-0.1335 0 0) 
0.1785  (-0.133875 0 0) 
0.179  (-0.13425 0 0) 
0.1795  (-0.134625 0 0) 
0.18  (-0.135 0 0) 
0.1805  (-0.135375 0 0) 
0.181  (-0.13575 0 0) 
0.1815  (-0.136125 0 0) 
0.182  (-0.1365 0 0) 
0.1825  (-0.136875 0 0) 
0.183  (-0.13725 0 0) 
0.1835  (-0.137625 0 0) 
0.184  (-0.138 0 0) 
0.1845  (-0.138375 0 0) 
