# Forces      
# CofR        : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.064         	((-6.9980338e+00 -5.3878341e+02 -1.3259839e-15) (1.8290477e-03 -2.8672066e-04 -2.8017736e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.4981098e+02 2.5424124e+00 1.9941117e-04) (-2.9285022e-04 -5.8136377e-04 -2.0741582e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.065         	((-7.0076779e+00 -5.3866839e+02 -1.3259868e-15) (1.8085844e-03 -2.8738245e-04 -2.8052062e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.4977304e+02 2.5462367e+00 1.9969603e-04) (-2.9326372e-04 -5.7476880e-04 -2.0508379e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.066         	((-7.0169334e+00 -5.3855331e+02 -1.3260915e-15) (1.7881406e-03 -2.8804101e-04 -2.8086158e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.4973504e+02 2.5499179e+00 1.9994306e-04) (-2.9367543e-04 -5.6817650e-04 -2.0274998e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.067         	((-7.0272565e+00 -5.3843755e+02 -1.3263468e-15) (1.7677276e-03 -2.8869247e-04 -2.8120020e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.4969665e+02 2.5539187e+00 2.0022698e-04) (-2.9408623e-04 -5.6158799e-04 -2.0041408e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.068         	((-7.0364667e+00 -5.3832306e+02 -1.3264812e-15) (1.7473427e-03 -2.8933540e-04 -2.8153633e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.4965883e+02 2.5574215e+00 2.0048077e-04) (-2.9449578e-04 -5.5500282e-04 -1.9807629e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.069         	((-7.0465719e+00 -5.3820700e+02 -1.3266255e-15) (1.7269725e-03 -2.8997467e-04 -2.8187024e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.4962061e+02 2.5610523e+00 2.0075801e-04) (-2.9490480e-04 -5.4841911e-04 -1.9573615e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.07          	((-7.0568927e+00 -5.3809114e+02 -1.3267519e-15) (1.7066165e-03 -2.9061270e-04 -2.8220213e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.4958230e+02 2.5650668e+00 2.0105130e-04) (-2.9531467e-04 -5.4183692e-04 -1.9339356e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.071         	((-7.0656698e+00 -5.3797609e+02 -1.3268815e-15) (1.6862737e-03 -2.9124107e-04 -2.8253178e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.4954438e+02 2.5683637e+00 2.0127117e-04) (-2.9572278e-04 -5.3525638e-04 -1.9104944e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.072         	((-7.0763104e+00 -5.3785982e+02 -1.3270285e-15) (1.6659382e-03 -2.9186681e-04 -2.8285915e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.4950584e+02 2.5724089e+00 2.0155206e-04) (-2.9613093e-04 -5.2867711e-04 -1.8870316e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.073         	((-7.0856765e+00 -5.3774433e+02 -1.3270359e-15) (1.6456176e-03 -2.9248334e-04 -2.8318409e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.4946779e+02 2.5758749e+00 2.0181289e-04) (-2.9653894e-04 -5.2209707e-04 -1.8635475e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.074         	((-7.0953566e+00 -5.3762820e+02 -1.3270685e-15) (1.6253142e-03 -2.9309346e-04 -2.8350666e-03) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.4942935e+02 2.5795066e+00 2.0208364e-04) (-2.9694768e-04 -5.1551937e-04 -1.8400401e-04) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
