experiment "Irregular waves for ECN campaign SOFTWIND SPAR" with ("nantes_main_posn/default.ttf")
/* Wave data read from .dat files prepared with MatLab routine LHEEA_irrwave_generation_SW_SPAR_additionnal.m */
/* Poly-chromatic wave data*/
wave (or run) 1;
Period	Frequency	Amplitude	Height	Direction	Phase
s	Hz	m	m	deg	rad
1.68977	0.591797	0.00120803	0.00241607	0	2.72487
1.68699	0.592773	0.00120748	0.00241496	0	5.0728
1.68421	0.59375	0.0012069	0.00241379	0	1.98074
1.68144	0.594727	0.00120628	0.00241257	0	5.61019
1.67869	0.595703	0.00120565	0.0024113	0	3.63078
1.67594	0.59668	0.00120498	0.00240997	0	1.15617
1.6732	0.597656	0.00120429	0.00240859	0	4.95071
1.67047	0.598633	0.00120358	0.00240715	0	3.84551
1.66775	0.599609	0.00120284	0.00240567	0	0.338722
1.66504	0.600586	0.00120207	0.00240414	0	2.64015
1.66234	0.601563	0.00120128	0.00240255	0	4.26672
1.65964	0.602539	0.00120046	0.00240092	0	5.77175
1.65696	0.603516	0.00119962	0.00239924	0	0.002526
1.65428	0.604492	0.00119875	0.00239751	0	6.13716
1.65161	0.605469	0.00119786	0.00239573	0	2.36612
1.64895	0.606445	0.00119695	0.00239391	0	6.11846
1.6463	0.607422	0.00119602	0.00239204	0	3.79954
1.64366	0.608398	0.00119506	0.00239012	0	5.20779
1.64103	0.609375	0.00119408	0.00238816	0	3.61102
1.6384	0.610352	0.00119308	0.00238616	0	3.94632
1.63578	0.611328	0.00119206	0.00238412	0	1.79433
1.63317	0.612305	0.00119101	0.00238203	0	3.68718
1.63057	0.613281	0.00118995	0.0023799	0	4.71253
1.62798	0.614258	0.00118886	0.00237773	0	5.39294
1.6254	0.615234	0.00118776	0.00237551	0	4.74432
1.62282	0.616211	0.00118663	0.00237326	0	4.38602
1.62025	0.617188	0.00118549	0.00237097	0	5.43168
1.61769	0.618164	0.00118432	0.00236864	0	2.02746
1.61514	0.619141	0.00118314	0.00236627	0	4.21469
1.6126	0.620117	0.00118193	0.00236387	0	2.83292
1.61006	0.621094	0.00118071	0.00236142	0	2.40082
1.60754	0.62207	0.00117947	0.00235894	0	2.5812
1.60502	0.623047	0.00117821	0.00235643	0	2.52257
