experiment "Irregular waves for ECN campaign SOFTWIND SPAR" with ("nantes_main_posn/default.ttf")
/* Wave data read from .dat files prepared with MatLab routine LHEEA_irrwave_generation_SW_SPAR_additionnal.m */
/* Poly-chromatic wave data*/
wave (or run) 1;
Period	Frequency	Amplitude	Height	Direction	Phase
s	Hz	m	m	deg	rad
2.10267	0.475586	0.00165845	0.0033169	0	0.780817
2.09836	0.476563	0.00166807	0.00333613	0	0.124911
2.09407	0.477539	0.00167757	0.00335514	0	0.164688
2.0898	0.478516	0.00168696	0.00337392	0	0.177855
2.08554	0.479492	0.00169624	0.00339247	0	1.54699
2.0813	0.480469	0.0017054	0.00341079	0	5.40371
2.07708	0.481445	0.00171444	0.00342889	0	3.38558
2.07287	0.482422	0.00172338	0.00344675	0	3.47348
2.06869	0.483398	0.00173219	0.00346439	0	5.29064
2.06452	0.484375	0.0017409	0.0034818	0	0.780204
2.06036	0.485352	0.00174949	0.00349897	0	1.75416
2.05622	0.486328	0.00175796	0.00351592	0	3.68043
2.0521	0.487305	0.00176632	0.00353263	0	6.09215
2.048	0.488281	0.00177456	0.00354912	0	3.52506
2.04391	0.489258	0.00178269	0.00356537	0	0.117164
2.03984	0.490234	0.0017907	0.0035814	0	5.03052
2.03579	0.491211	0.0017986	0.0035972	0	1.46382
2.03175	0.492188	0.00180638	0.00361276	0	5.07119
2.02772	0.493164	0.00181405	0.0036281	0	2.437
2.02372	0.494141	0.0018216	0.00364321	0	5.42579
2.01972	0.495117	0.00182904	0.00365808	0	4.6943
2.01575	0.496094	0.00183637	0.00367273	0	3.49496
2.01179	0.49707	0.00184358	0.00368716	0	0.857373
2.00784	0.498047	0.00185068	0.00370135	0	0.376474
2.00391	0.499023	0.00185766	0.00371532	0	0.762423
2	0.5	0.00186453	0.00372906	0	0.279928
1.9961	0.500977	0.00187129	0.00374258	0	0.675406
1.99222	0.501953	0.00187793	0.00375587	0	1.41817
1.98835	0.50293	0.00188447	0.00376894	0	4.47984
1.9845	0.503906	0.00189089	0.00378178	0	3.51681
1.98066	0.504883	0.0018972	0.0037944	0	0.0788916
1.97683	0.505859	0.0019034	0.0038068	0	0.452228
1.97303	0.506836	0.00190949	0.00381898	0	6.07758
1.96923	0.507813	0.00191547	0.00383094	0	3.56948
1.96545	0.508789	0.00192134	0.00384268	0	1.27733
1.96169	0.509766	0.0019271	0.0038542	0	1.58541
1.95793	0.510742	0.00193275	0.00386551	0	4.6736
1.9542	0.511719	0.0019383	0.0038766	0	1.22792
1.95048	0.512695	0.00194374	0.00388747	0	3.65279
1.94677	0.513672	0.00194907	0.00389813	0	6.09482
1.94307	0.514648	0.00195429	0.00390858	0	5.32078
1.93939	0.515625	0.00195941	0.00391882	0	1.50701
1.93573	0.516602	0.00196442	0.00392885	0	3.10245
1.93208	0.517578	0.00196933	0.00393866	0	3.8953
1.92844	0.518555	0.00197414	0.00394827	0	5.20864
1.92481	0.519531	0.00197884	0.00395767	0	0.985149
1.9212	0.520508	0.00198344	0.00396687	0	0.116718
1.9176	0.521484	0.00198793	0.00397587	0	0.439962
1.91402	0.522461	0.00199233	0.00398466	0	3.0558
1.91045	0.523438	0.00199662	0.00399324	0	3.80968
1.90689	0.524414	0.00200082	0.00400163	0	3.5742
1.90335	0.525391	0.00200491	0.00400982	0	1.99405
1.89981	0.526367	0.00200891	0.00401782	0	6.21166
1.8963	0.527344	0.00201281	0.00402561	0	3.64265
1.89279	0.52832	0.00201661	0.00403321	0	2.3885
1.8893	0.529297	0.00202031	0.00404062	0	3.46171
1.88582	0.530273	0.00202392	0.00404784	0	4.68307
1.88235	0.53125	0.00202743	0.00405487	0	4.20491
1.8789	0.532227	0.00203085	0.0040617	0	1.66454
1.87546	0.533203	0.00203418	0.00406836	0	0.416794
1.87203	0.53418	0.00203741	0.00407482	0	2.32531
1.86861	0.535156	0.00204055	0.0040811	0	3.95663
1.86521	0.536133	0.0020436	0.0040872	0	1.32056
1.86182	0.537109	0.00204656	0.00409311	0	4.7297
1.85844	0.538086	0.00204942	0.00409885	0	0.418061
1.85507	0.539063	0.0020522	0.0041044	0	1.63561
1.85172	0.540039	0.00205489	0.00410978	0	5.05642
1.84838	0.541016	0.00205749	0.00411499	0	1.21538
1.84505	0.541992	0.00206001	0.00412002	0	4.01785
1.84173	0.542969	0.00206244	0.00412488	0	3.2966
1.83842	0.543945	0.00206478	0.00412957	0	5.81074
1.83513	0.544922	0.00206704	0.00413408	0	1.65434
1.83184	0.545898	0.00206922	0.00413844	0	0.414446
1.82857	0.546875	0.00207131	0.00414262	0	4.61856
1.82531	0.547852	0.00207332	0.00414664	0	4.85174
1.82206	0.548828	0.00207525	0.0041505	0	5.70398
1.81883	0.549805	0.0020771	0.00415419	0	5.85575
1.8156	0.550781	0.00207886	0.00415773	0	0.0876603
1.81239	0.551758	0.00208055	0.0041611	0	1.47254
1.80919	0.552734	0.00208216	0.00416432	0	3.87533
1.806	0.553711	0.00208369	0.00416739	0	5.96285
1.80282	0.554688	0.00208515	0.0041703	0	5.97013
1.79965	0.555664	0.00208653	0.00417305	0	3.49756
1.79649	0.556641	0.00208783	0.00417566	0	5.75292
1.79335	0.557617	0.00208906	0.00417812	0	4.03108
1.79021	0.558594	0.00209022	0.00418043	0	2.45049
1.78709	0.55957	0.0020913	0.0041826	0	3.05357
1.78397	0.560547	0.00209231	0.00418462	0	3.79699
1.78087	0.561523	0.00209325	0.00418649	0	3.45291
1.77778	0.5625	0.00209411	0.00418823	0	5.81937
1.7747	0.563477	0.00209491	0.00418982	0	5.77257
1.77163	0.564453	0.00209564	0.00419128	0	2.48108
1.76857	0.56543	0.0020963	0.0041926	0	6.05236
1.76552	0.566406	0.00209689	0.00419378	0	1.093
1.76248	0.567383	0.00209742	0.00419483	0	0.793752
1.75945	0.568359	0.00209788	0.00419575	0	0.848727
1.75643	0.569336	0.00209827	0.00419654	0	3.17717
1.75342	0.570313	0.0020986	0.00419719	0	0.135244
1.75043	0.571289	0.00209886	0.00419772	0	5.95627
1.74744	0.572266	0.00209906	0.00419813	0	5.19692
1.74446	0.573242	0.0020992	0.0041984	0	0.094367
1.7415	0.574219	0.00209928	0.00419856	0	1.10707
1.73854	0.575195	0.00209929	0.00419859	0	2.08642
1.73559	0.576172	0.00209925	0.0041985	0	0.823077
1.73266	0.577148	0.00209914	0.00419829	0	5.08618
1.72973	0.578125	0.00209898	0.00419796	0	2.16604
1.72681	0.579102	0.00209876	0.00419752	0	5.90687
1.72391	0.580078	0.00209848	0.00419696	0	3.6569
1.72101	0.581055	0.00209815	0.00419629	0	5.52186
1.71812	0.582031	0.00209775	0.00419551	0	5.30762
1.71524	0.583008	0.00209731	0.00419461	0	5.68875
1.71237	0.583984	0.0020968	0.00419361	0	2.88951
1.70952	0.584961	0.00209625	0.00419249	0	3.4328
1.70667	0.585938	0.00209564	0.00419127	0	5.01777
1.70383	0.586914	0.00209497	0.00418995	0	1.79522
1.701	0.587891	0.00209426	0.00418852	0	3.08035
1.69818	0.588867	0.00209349	0.00418699	0	3.76432
1.69536	0.589844	0.00209268	0.00418536	0	0.0975984
1.69256	0.59082	0.00209181	0.00418362	0	3.72895
1.68977	0.591797	0.00209089	0.00418179	0	2.72487
1.68699	0.592773	0.00208993	0.00417986	0	5.0728
1.68421	0.59375	0.00208892	0.00417783	0	1.98074
1.68144	0.594727	0.00208786	0.00417571	0	5.61019
1.67869	0.595703	0.00208675	0.0041735	0	3.63078
1.67594	0.59668	0.0020856	0.00417119	0	1.15617
1.6732	0.597656	0.0020844	0.00416879	0	4.95071
1.67047	0.598633	0.00208315	0.00416631	0	3.84551
1.66775	0.599609	0.00208186	0.00416373	0	0.338722
1.66504	0.600586	0.00208053	0.00416107	0	2.64015
1.66234	0.601563	0.00207916	0.00415832	0	4.26672
1.65964	0.602539	0.00207774	0.00415548	0	5.77175
1.65696	0.603516	0.00207628	0.00415256	0	0.002526
1.65428	0.604492	0.00207478	0.00414956	0	6.13716
1.65161	0.605469	0.00207324	0.00414648	0	2.36612
1.64895	0.606445	0.00207166	0.00414331	0	6.11846
1.6463	0.607422	0.00207003	0.00414007	0	3.79954
1.64366	0.608398	0.00206837	0.00413675	0	5.20779
1.64103	0.609375	0.00206668	0.00413335	0	3.61102
1.6384	0.610352	0.00206494	0.00412988	0	3.94632
1.63578	0.611328	0.00206316	0.00412633	0	1.79433
1.63317	0.612305	0.00206135	0.00412271	0	3.68718
1.63057	0.613281	0.00205951	0.00411901	0	4.71253
1.62798	0.614258	0.00205762	0.00411525	0	5.39294
1.6254	0.615234	0.00205571	0.00411141	0	4.74432
1.62282	0.616211	0.00205375	0.00410751	0	4.38602
1.62025	0.617188	0.00205177	0.00410353	0	5.43168
1.61769	0.618164	0.00204975	0.00409949	0	2.02746
1.61514	0.619141	0.00204769	0.00409539	0	4.21469
1.6126	0.620117	0.00204561	0.00409121	0	2.83292
1.61006	0.621094	0.00204349	0.00408698	0	2.40082
1.60754	0.62207	0.00204134	0.00408268	0	2.5812
1.60502	0.623047	0.00203916	0.00407832	0	2.52257
1.6025	0.624023	0.00203695	0.0040739	0	1.99418
1.6	0.625	0.00203471	0.00406942	0	3.90763
1.5975	0.625977	0.00203244	0.00406488	0	2.70332
1.59502	0.626953	0.00203014	0.00406028	0	6.11858
1.59253	0.62793	0.00202781	0.00405562	0	4.25875
1.59006	0.628906	0.00202545	0.00405091	0	1.24765
1.5876	0.629883	0.00202307	0.00404614	0	2.68104
1.58514	0.630859	0.00202066	0.00404132	0	2.15731
1.58269	0.631836	0.00201822	0.00403644	0	5.01171
1.58025	0.632813	0.00201576	0.00403151	0	5.52919
1.57781	0.633789	0.00201327	0.00402653	0	5.67901
1.57538	0.634766	0.00201075	0.0040215	0	4.16399
1.57296	0.635742	0.00200821	0.00401642	0	1.69777
1.57055	0.636719	0.00200565	0.00401129	0	1.58567
1.56815	0.637695	0.00200306	0.00400611	0	5.37148
1.56575	0.638672	0.00200044	0.00400089	0	3.31573
1.56336	0.639648	0.00199781	0.00399562	0	5.04013
1.56098	0.640625	0.00199515	0.0039903	0	3.59705
1.5586	0.641602	0.00199247	0.00398494	0	4.60647
1.55623	0.642578	0.00198977	0.00397953	0	3.26105
1.55387	0.643555	0.00198704	0.00397408	0	4.84361
1.55152	0.644531	0.00198429	0.00396859	0	3.57424
1.54917	0.645508	0.00198153	0.00396306	0	2.92614
1.54683	0.646484	0.00197874	0.00395748	0	2.15318
1.54449	0.647461	0.00197593	0.00395187	0	0.428572
1.54217	0.648438	0.00197311	0.00394621	0	2.37457
1.53985	0.649414	0.00197026	0.00394052	0	0.500305
1.53754	0.650391	0.00196739	0.00393479	0	6.17522
1.53523	0.651367	0.00196451	0.00392902	0	1.14111
1.53293	0.652344	0.00196161	0.00392321	0	5.10106
1.53064	0.65332	0.00195869	0.00391737	0	5.49755
1.52836	0.654297	0.00195575	0.0039115	0	4.32543
1.52608	0.655273	0.0019528	0.00390559	0	3.57824
1.52381	0.65625	0.00194982	0.00389965	0	1.01141
1.52155	0.657227	0.00194684	0.00389367	0	2.93349
1.51929	0.658203	0.00194383	0.00388766	0	2.16878
1.51704	0.65918	0.00194081	0.00388162	0	1.41397
1.51479	0.660156	0.00193778	0.00387555	0	3.72286
1.51256	0.661133	0.00193473	0.00386945	0	1.96205
1.51032	0.662109	0.00193166	0.00386332	0	5.75732
1.5081	0.663086	0.00192858	0.00385716	0	5.71541
1.50588	0.664063	0.00192549	0.00385097	0	1.61552
1.50367	0.665039	0.00192238	0.00384476	0	0.696751
1.50147	0.666016	0.00191926	0.00383852	0	1.21242
1.49927	0.666992	0.00191612	0.00383225	0	3.13898
1.49708	0.667969	0.00191298	0.00382595	0	4.57784
1.49489	0.668945	0.00190982	0.00381963	0	1.30812
1.49271	0.669922	0.00190664	0.00381329	0	1.55844
1.49054	0.670898	0.00190346	0.00380692	0	5.35121
1.48837	0.671875	0.00190026	0.00380053	0	2.61285
1.48621	0.672852	0.00189706	0.00379411	0	3.87475
1.48406	0.673828	0.00189384	0.00378767	0	1.46817
1.48191	0.674805	0.00189061	0.00378121	0	0.640679
1.47977	0.675781	0.00188737	0.00377473	0	3.24123
1.47763	0.676758	0.00188412	0.00376823	0	2.99797
1.4755	0.677734	0.00188086	0.00376171	0	0.959264
1.47338	0.678711	0.00187758	0.00375517	0	3.90692
1.47126	0.679688	0.0018743	0.00374861	0	3.41812
1.46915	0.680664	0.00187101	0.00374203	0	4.11007
1.46705	0.681641	0.00186772	0.00373543	0	0.908206
1.46495	0.682617	0.00186441	0.00372882	0	4.72199
1.46286	0.683594	0.00186109	0.00372218	0	1.39518
1.46077	0.68457	0.00185777	0.00371553	0	3.26318
1.45869	0.685547	0.00185443	0.00370887	0	4.93416
1.45661	0.686523	0.00185109	0.00370219	0	0.140306
1.45455	0.6875	0.00184775	0.00369549	0	2.03803
1.45248	0.688477	0.00184439	0.00368878	0	5.48473
1.45042	0.689453	0.00184103	0.00368206	0	5.30747
1.44837	0.69043	0.00183766	0.00367532	0	3.38312
1.44633	0.691406	0.00183428	0.00366856	0	5.44506
1.44429	0.692383	0.0018309	0.0036618	0	5.96781
1.44225	0.693359	0.00182751	0.00365502	0	5.19247
1.44023	0.694336	0.00182411	0.00364823	0	5.36657
1.4382	0.695313	0.00182071	0.00364143	0	0.620423
1.43619	0.696289	0.00181731	0.00363461	0	4.09227
1.43417	0.697266	0.00181389	0.00362779	0	4.42033
1.43217	0.698242	0.00181048	0.00362095	0	3.83426
1.43017	0.699219	0.00180705	0.00361411	0	5.02413
1.42817	0.700195	0.00180363	0.00360725	0	0.217217
1.42618	0.701172	0.0018002	0.00360039	0	4.83955
1.4242	0.702148	0.00179676	0.00359352	0	4.59759
1.42222	0.703125	0.00179332	0.00358664	0	1.63173
1.42025	0.704102	0.00178987	0.00357975	0	1.61521
1.41828	0.705078	0.00178643	0.00357285	0	3.97288
1.41632	0.706055	0.00178297	0.00356595	0	2.16957
1.41436	0.707031	0.00177952	0.00355903	0	5.00511
1.41241	0.708008	0.00177606	0.00355212	0	2.80322
1.41047	0.708984	0.0017726	0.00354519	0	4.91816
1.40853	0.709961	0.00176913	0.00353826	0	6.22332
1.40659	0.710938	0.00176566	0.00353132	0	1.88652
1.40466	0.711914	0.00176219	0.00352438	0	0.898532
1.40274	0.712891	0.00175872	0.00351743	0	5.66309
1.40082	0.713867	0.00175524	0.00351048	0	3.40272
1.39891	0.714844	0.00175176	0.00350353	0	6.12447
1.397	0.71582	0.00174828	0.00349657	0	3.9999
1.3951	0.716797	0.0017448	0.0034896	0	6.24494
1.3932	0.717773	0.00174132	0.00348264	0	3.43106
1.3913	0.71875	0.00173783	0.00347567	0	3.30763
1.38942	0.719727	0.00173435	0.00346869	0	0.850919
1.38753	0.720703	0.00173086	0.00346172	0	2.23496
1.38566	0.72168	0.00172737	0.00345474	0	0.164736
1.38378	0.722656	0.00172388	0.00344776	0	1.00779
1.38192	0.723633	0.00172039	0.00344078	0	4.68498
1.38005	0.724609	0.0017169	0.0034338	0	0.191007
1.3782	0.725586	0.00171341	0.00342681	0	2.30306
1.37634	0.726563	0.00170991	0.00341983	0	5.41828
1.3745	0.727539	0.00170642	0.00341284	0	4.35222
1.37265	0.728516	0.00170293	0.00340586	0	4.34132
1.37082	0.729492	0.00169944	0.00339887	0	1.18524
1.36898	0.730469	0.00169594	0.00339189	0	2.77657
1.36716	0.731445	0.00169245	0.0033849	0	3.65416
1.36533	0.732422	0.00168896	0.00337792	0	6.21879
1.36352	0.733398	0.00168547	0.00337093	0	1.28118
1.3617	0.734375	0.00168198	0.00336395	0	1.55655
1.35989	0.735352	0.00167849	0.00335697	0	1.64728
1.35809	0.736328	0.001675	0.00334999	0	4.71347
1.35629	0.737305	0.00167151	0.00334302	0	2.87126
1.3545	0.738281	0.00166802	0.00333604	0	0.357698
1.35271	0.739258	0.00166453	0.00332907	0	3.1951
1.35092	0.740234	0.00166105	0.0033221	0	1.33178
1.34914	0.741211	0.00165757	0.00331513	0	5.01778
1.34737	0.742188	0.00165408	0.00330817	0	1.86819
1.3456	0.743164	0.0016506	0.00330121	0	0.173454
