# Forces      
# CofR        : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.03          	((1.3016813e-02 -1.4680502e-02 3.3311034e+03) (4.3795085e-07 4.6994270e-07 -4.8377365e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-2.1266794e-02 -2.4092921e-02 -1.0375060e-06) (2.3024835e-07 -1.3278656e-07 1.7193418e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.031         	((-1.5783063e-02 1.1628620e-02 3.3273702e+03) (4.4103712e-07 4.7271877e-07 -4.8355499e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((1.4866862e-02 3.2385451e-02 -1.0513302e-06) (2.2877356e-07 -1.3234577e-07 1.7599758e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.032         	((1.1465697e-02 -1.0478624e-02 3.3307301e+03) (4.4368216e-07 4.7695617e-07 -4.8333957e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-1.3663622e-02 -2.0168097e-02 -1.0561035e-06) (2.3089483e-07 -1.3115834e-07 1.8000837e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.033         	((-1.2951879e-02 7.4885442e-03 3.3275571e+03) (4.4712571e-07 4.7936773e-07 -4.8312502e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((8.5367834e-03 2.5707375e-02 -1.0715435e-06) (2.2999817e-07 -1.3260878e-07 1.8420840e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.034         	((1.0028151e-02 -2.8299708e-03 3.3304216e+03) (4.5061750e-07 4.8540064e-07 -4.8291313e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-6.4826931e-03 -1.6132506e-02 -1.0816287e-06) (2.3196832e-07 -1.3275247e-07 1.8861461e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.035         	((-9.1383003e-03 3.6525620e-03 3.3276870e+03) (4.5567754e-07 4.8945634e-07 -4.8270229e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((7.5210513e-03 1.9934222e-02 -1.0816436e-06) (2.3448526e-07 -1.3486217e-07 1.9303384e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.036         	((7.9486749e-03 -2.8785360e-03 3.3301694e+03) (4.5970342e-07 4.9293087e-07 -4.8249353e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-8.5350501e-03 -1.0467226e-02 -1.0961776e-06) (2.3510120e-07 -1.3433538e-07 1.9752846e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.037         	((-8.0416231e-03 2.0741652e-03 3.3277680e+03) (4.6355502e-07 4.9571453e-07 -4.8228598e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((6.6088469e-03 1.3410411e-02 -1.0948757e-06) (2.3586448e-07 -1.3745379e-07 2.0210265e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.038         	((6.8388875e-03 -3.2839933e-03 3.3299531e+03) (4.6675620e-07 4.9803753e-07 -4.8208016e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-9.5593395e-03 -6.3228182e-03 -1.1073813e-06) (2.3545383e-07 -1.3837329e-07 2.0673266e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.039         	((-7.1375933e-03 2.8846654e-03 3.3278190e+03) (4.6980336e-07 5.0091187e-07 -4.8187558e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((6.7104413e-03 1.1083113e-02 -1.1061898e-06) (2.3537627e-07 -1.4019399e-07 2.1138216e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.04          	((5.0337807e-03 -3.0797153e-03 3.3297579e+03) (4.7192649e-07 5.0375525e-07 -4.8167252e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((-8.2441804e-03 -4.0114735e-03 -1.1173999e-06) (2.3567381e-07 -1.4111003e-07 2.1600979e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
0.041         	((-4.5485737e-03 2.3460839e-03 3.3278597e+03) (4.7499824e-07 5.0630316e-07 -4.8147054e-02) (0.0000000e+00 0.0000000e+00 0.0000000e+00)) ((5.7252484e-03 8.4203440e-03 -1.1146692e-06) (2.3587729e-07 -1.4304216e-07 2.2059766e-08) (0.0000000e+00 0.0000000e+00 0.0000000e+00))
